consulta,necesita_grafico,tipo_grafico
PRIMEROS 5 CLIENTES ORDENADOS ALFABÉTICAMENTE AGREGANDO CHART,1,barras
Podrías indicadores clave,False,ninguno
tipos de comprobante y muestra gráfico,1,circular
tipos de comprobante con gráfico,1,barras
productos sin stock y muestra un gráfico de barras,True,barras
Me gustaría productos por categoría con gráfico de dispersión,True,dispersion
Me gustaría plotear la correlación precio-ventas,1,dispersion
Sería posible ventas por vendedor y haz un gráfico de pastel,True,circular
Solicito dibuja un gráfico con los primeros 5 clientes ordenados alfabéticamente,True,barras
crea un plot de los productos con mayor margen,1,dispersion
muestra gráfico las ventas mensuales,1,circular
Solicito plotea las ventas por hora,1,barras
Consulta: haz un gráfico de los precios promedio por marca,True,barras
Consulta: productos con mayor margen con gráfico,True,barras
grafica la participación de mercado,1,barras
crea plot el stock por categoría,1,lineal
Dame primeros 5 clientes ordenados alfabéticamente y gráfico,True,barras
Consulta: haz un gráfico de los métodos de pago más utilizados,True,barras
Consulta: presenta en gráfico los clientes por grupo de edad,True,barras
descuentos aplicados con gráfico,1,barras
presenta en gráfico la evolución de precios,1,barras
Mostrar movimientos de inventario con gráfico circular,True,circular
Podrías grafica los stock por categoría,1,barras
Sería posible dashboard de ventas,True,barras
Necesito top 10 productos más vendidos con gráfico,True,barras
movimientos de inventario incluyendo gráfica,1,lineal
Podrías actualizar precio del producto sku abc123,False,ninguno
Consulta: visualiza la participación de mercado,True,circular
Solicito estados de venta con gráfico de dispersión,True,dispersion
Dame los productos sin stock y graficalos,1,barras
Consulta: descuentos aplicados y muestra gráfico,True,barras
Consulta: haz gráfica la participación de mercado,True,circular
Dispersión de precios por categoría,True,dispersion
Total vendido este mes,0,ninguno
Solicito primeros 5 clientes ordenados alfabéticamente agregando chart,1,barras
Requiero movimientos de inventario visualizado en línea,True,lineal
Requiero dame los ventas mensuales del último año y graficalos,1,lineal
Requiero visualiza los productos más vendidos,True,barras
Resultados del trimestre?,True,lineal
Solicito presentar en gráfico la participación de mercado,True,circular
Presenta en gráfico los métodos de pago,True,barras
visualiza en un gráfico los stock por categoría,1,circular
Podrías dibuja gráfico las ventas por hora,True,barras
ventas por vendedor y muestra histograma,1,histograma
COMPOSICIÓN DEL INVENTARIO POR CATEGORÍA,False,ninguno
Quiero compras por proveedor y haz un gráfico de pastel,True,circular
Consulta: top 10 productos más vendidos con gráfico,True,barras
Quiero haz un gráfico de los productos por categoría,True,barras
Solicito top 10 productos más vendidos con gráfico,True,barras
genera chart la evolución de precios,1,barras
Podrías tipos de comprobante y haz un gráfico de pastel,True,circular
Obtener mostrame los primeros 5 clientes ordenados alfabéticamente y grafica los resultados,1,barras
Requiero grafica la distribución de clientes,1,histograma
Solicito dame los productos con mayor margen y graficalos,1,barras
Requiero top 10 productos más vendidos visualizado en línea,True,lineal
stock por categoría agregando chart,1,barras
Sería posible plotear los productos más vendidos,1,barras
crea un plot de los top 10 productos más vendidos,1,dispersion
productos con mayor margen y muestra histograma,1,histograma
Me gustaría obten los tipos de comprobante y visualizalos en un gráfico,True,barras
productos sin stock y muestra gráfico,True,barras
Sería posible ventas por vendedor y muestra gráfico,True,barras
ventas por temporada con gráfico de dispersión,1,dispersion
Mostrar presentar en gráfico los productos más vendidos,True,barras
Necesito dibujar gráfico la frecuencia de compras,True,histograma
genera chart las ventas mensuales,1,barras
Solicito lista los ventas por hora del día y muestra un gráfico,True,barras
Quiero primeros 5 clientes ordenados alfabéticamente y muestra un gráfico de barras,True,barras
Me gustaría muestra gráfico los productos más vendidos,True,barras
DAME LOS PRODUCTOS CON MAYOR MARGEN Y GRAFICALOS,1,barras
Me gustaría productos sin stock y graficalo en barras,1,barras
tipos de comprobante y muestra histograma,1,histograma
Quiero dibuja gráfico las ventas mensuales,True,lineal
Estadísticas de productos,False,ninguno
Necesito mostrar gráfico los métodos de pago,True,barras
presenta en gráfico el stock por categoría,1,barras
dibuja un gráfico con los primeros 5 clientes ordenados alfabéticamente,True,barras
genera una gráfica de los descuentos aplicados por favor,True,barras
Obtener buscar productos de la marca nike,False,ninguno
tipos de comprobante y muestra histograma,True,histograma
dame los clientes registrados por mes y graficalos,1,barras
Histograma de cantidades vendidas?,True,histograma
consulta los movimientos de inventario y genera un chart,1,barras
MUESTRA GRÁFICO LA FRECUENCIA DE COMPRAS,True,histograma
Plotear los productos más vendidos,1,barras
clientes registrados por mes con gráfico circular,1,circular
Plotea la participación de mercado,1,circular
Podrías plotea los productos más vendidos,1,barras
Quiero muestrame los movimientos de inventario y presenta un gráfico,True,barras
Mostrar gráfico las ventas por hora,True,barras
Graficar los productos más vendidos,1,barras
Dame ventas por temporada con gráfico,True,barras
Podrías clientes registrados por mes incluyendo gráfica,True,barras
Obtener evolución del inventario total,False,ninguno
crear plot los métodos de pago,1,lineal
Solicito top 10 productos más vendidos agregando chart,1,barras
Quiero busca los estados de venta y crea una gráfica,True,barras
Requiero mostrame los ventas mensuales del último año y grafica los resultados,1,lineal
graficar la participación de mercado,1,barras
Quiero consulta los top 10 productos más vendidos y genera un chart,1,barras
Consulta: grafica la frecuencia de compras,1,histograma
haz un gráfico de los ventas por temporada,1,barras
Podrías transacciones rechazadas este mes,True,barras
Solicito visualiza en un gráfico los ventas por vendedor,True,barras
crea un plot de los ventas por temporada?,1,barras
Relación entre precio y cantidad vendida,1,dispersion
Quiero top 10 productos más vendidos con gráfico de dispersión,True,dispersion
Dame productos más vendidos por categoría,True,barras
Consulta: muestra en un chart los movimientos de inventario,1,barras
Grafica los productos con mayor margen,1,barras
Requiero distribución de precios de productos,True,histograma
precios promedio por marca incluyendo gráfica,1,lineal
Me gustaría mostrar gráfico los métodos de pago,True,barras
Quiero hacer gráfica las ventas mensuales,True,lineal
Obtener dibuja un gráfico con los ventas por hora del día,True,barras
Obtener análisis de tendencias,True,lineal
Visualiza en un gráfico los ventas mensuales del último año,True,lineal
Productos con mayor margen de ganancia,1,barras
Productos sin stock y haz un gráfico de pastel,True,circular
obten los ventas por hora del día y visualizalos en un gráfico,True,barras
Obtener tipos de comprobante y muestra histograma,True,histograma
Solicito ventas por hora del día incluyendo gráfica,True,barras
extrae los transacciones por estado y haz un plot,1,barras
Solicito haz un gráfico de los ventas por temporada,True,barras
presenta en gráfico los métodos de pago más utilizados,1,circular
dibuja gráfico la frecuencia de compras?,True,histograma
Requiero grafica la distribución de clientes,1,histograma
Podrías obten los clientes registrados por mes y visualizalos en un gráfico,True,barras
visualiza las ventas mensuales,True,lineal
EXTRAE LOS PRODUCTOS POR CATEGORÍA Y HAZ UN PLOT,1,barras
obten los clientes por grupo de edad y visualizalos en un gráfico,1,circular
presenta en gráfico los movimientos de inventario,1,circular
mostrar gráfico los productos más vendidos,1,circular
mostrame los precios promedio por marca y grafica los resultados?,1,barras
ventas por hora del día con gráfico?,True,barras
Podrías extrae los descuentos aplicados y haz un plot,1,barras
Necesito dibuja un gráfico con los clientes registrados por mes,True,barras
Obtener stock por categoría con gráfico circular,True,circular
grafica los primeros 5 clientes ordenados alfabéticamente?,1,barras
Consulta: visualiza la frecuencia de compras,True,histograma
visualizar los productos más vendidos,1,lineal
generar chart los productos más vendidos,1,barras
Análisis de tendencias,1,lineal
Requiero grafica los productos con mayor margen,1,barras
Sería posible lista los tipos de comprobante y muestra un gráfico,True,barras
grafica la evolución de precios,1,barras
primeros 5 clientes ordenados alfabéticamente y muestra histograma,1,histograma
Requiero dibuja un gráfico con los compras por proveedor,True,barras
Podrías haz gráfica la correlación precio-ventas,True,dispersion
Mostrar muestrame los compras por proveedor y presenta un gráfico,True,barras
Solicito presenta en gráfico los descuentos aplicados,True,barras
Hacer gráfica las ventas por hora,True,barras
Solicito ventas por vendedor y muestra histograma,True,histograma
dibujar gráfico la distribución de clientes?,True,histograma
Dame dibujar gráfico la evolución de precios,True,lineal
Quiero productos que tienen descuento activo,False,ninguno
Requiero movimientos de inventario y graficalo en barras,1,barras
Dame stock por categoría en gráfico lineal,True,lineal
Podrías estados de venta y muestra histograma,True,histograma
Dame visualiza la participación de mercado,True,circular
Me gustaría ventas por temporada agregando chart,1,barras
lista los top 10 productos más vendidos y muestra un gráfico,1,barras
Quiero visualiza en un gráfico los clientes por grupo de edad,True,barras
GRAFICAR LA FRECUENCIA DE COMPRAS,1,histograma
Tendencia de stock de un producto específico,1,lineal
haz gráfica la frecuencia de compras,1,circular
GRAFICA LA PARTICIPACIÓN DE MERCADO,1,circular
visualizar el stock por categoría,1,lineal
ventas por hora del día agregando chart,1,barras
Consulta: ventas por hora del día y muestra gráfico,True,barras
Sería posible ventas por hora del día con gráfico,True,barras
Solicito productos con mayor margen y muestra histograma,True,histograma
dibuja un gráfico con los ventas por hora del día,True,barras
crea plot la distribución de clientes,1,lineal
Mostrar haz un gráfico de los compras por proveedor,True,barras
Podrías crecimiento de clientes registrados,True,lineal
Quiero transacciones por estado y muestra un gráfico de barras,True,barras
Requiero haz gráfica los productos más vendidos,True,barras
DIBUJA GRÁFICO LA PARTICIPACIÓN DE MERCADO,True,circular
obten los stock por categoría y visualizalos en un gráfico?,True,barras
precios promedio por marca en gráfico lineal,1,lineal
clientes registrados por mes incluyendo gráfica,True,barras
Obtener lista de todos los proveedores,False,ninguno
crea un plot de los productos por categoría,1,barras
presentar en gráfico las ventas por hora,1,barras
Consulta: mostrame los ventas mensuales del último año y grafica los resultados,1,lineal
generar chart la correlación precio-ventas,1,barras
dame los clientes registrados por mes y graficalos?,1,barras
mostrame los compras por proveedor y grafica los resultados,1,barras
Consulta: generar chart la correlación precio-ventas,1,dispersion
visualizar la evolución de precios,1,lineal
grafica los métodos de pago,1,barras
presenta en gráfico la participación de mercado,1,barras
muestra en un chart los ventas mensuales del último año,1,lineal
Requiero crea plot la distribución de clientes,1,histograma
crea un plot de los productos por categoría,1,dispersion
Consulta: top 10 productos más vendidos en gráfico lineal,True,lineal
Sería posible dibuja gráfico los métodos de pago,True,barras
MUESTRAME LOS VENTAS MENSUALES DEL ÚLTIMO AÑO Y PRESENTA UN GRÁFICO,True,lineal
Sería posible graficar las ventas mensuales,1,lineal
Requiero visualiza en un gráfico los productos con mayor margen,True,barras
Obtener grafica los precios promedio por marca,1,barras
visualiza en un gráfico los productos por categoría,1,circular
haz gráfica las ventas por hora,True,barras
Obtener clientes por grupo de edad y muestra gráfico,True,barras
Podrías plotear las ventas mensuales,1,lineal
Requiero visualiza en un gráfico los ventas por vendedor,True,barras
Me gustaría generar chart la participación de mercado,1,circular
Mostrar crea plot las ventas mensuales,1,lineal
Consulta: visualiza en un gráfico los stock por categoría,True,barras
Quiero haz un gráfico de los top 10 productos más vendidos,True,barras
Me gustaría crea plot la frecuencia de compras,1,histograma
Me gustaría relación stock mínimo vs stock actual,False,ninguno
grafica la frecuencia de compras,1,barras
Busca los top 10 productos más vendidos y crea una gráfica,True,barras
plotea la distribución de clientes,1,dispersion
visualiza las ventas por hora,True,barras
Quiero crea plot la participación de mercado,1,circular
Quiero resumen de ventas del mes actual,True,barras
Me gustaría presenta en gráfico los descuentos aplicados,True,barras
Análisis de mercado,1,barras
grafica los tipos de comprobante,1,barras
genera una gráfica de los tipos de comprobante por favor,True,barras
Obten los ventas mensuales del último año y visualizalos en un gráfico,True,lineal
Compras por proveedor y muestra gráfico,True,barras
Quiero stock por categoría de productos,True,barras
extrae los transacciones por estado y haz un plot,1,barras
Necesito ventas por vendedor agregando chart,1,barras
GRAFICA LAS VENTAS POR HORA,1,barras
mostrame los stock por categoría y grafica los resultados?,1,barras
Resumen financiero,0,ninguno
Dame haz un gráfico de los métodos de pago más utilizados,True,barras
Quiero mostrame los productos por categoría y grafica los resultados,1,barras
Productos que necesitan reposición,0,ninguno
genera chart las ventas por hora,1,barras
CONSULTA LOS PRODUCTOS SIN STOCK Y GENERA UN CHART,1,barras
Dibuja gráfico la distribución de clientes,True,histograma
primeros 5 clientes ordenados alfabéticamente con gráfico de dispersión,1,dispersion
Mostrar tipos de comprobante con gráfico circular,True,circular
muestrame los ventas por vendedor y presenta un gráfico,1,circular
genera una gráfica de los productos por categoría por favor,True,barras
Me gustaría dibuja un gráfico con los clientes registrados por mes,True,barras
dame los productos por categoría y graficalos,1,barras
hacer gráfica los métodos de pago,1,circular
Sería posible haz un gráfico de los ventas por hora del día,True,barras
muestra gráfico el stock por categoría,1,circular
Solicito productos sin stock en gráfico lineal,True,lineal
tipos de comprobante con gráfico de dispersión,True,dispersion
Transacciones rechazadas este mes,0,ninguno
lista los ventas mensuales del último año y muestra un gráfico,True,lineal
Necesito crea un plot de los métodos de pago más utilizados,1,barras
Necesito clientes que tienen email gmail.com,False,ninguno
Dame stock por categoría y graficalo en barras,1,barras
Movimientos de inventario y haz un gráfico de pastel,True,circular
tipos de comprobante con gráfico de dispersión,1,dispersion
Consulta: clientes por grupo de edad visualizado en línea,True,lineal
top 10 productos más vendidos agregando chart,1,barras
Obtener movimientos de inventario con gráfico,True,barras
presenta en gráfico los ventas por vendedor,1,circular
Sería posible presenta en gráfico los ventas por hora del día,True,barras
MOSTRAME LOS STOCK POR CATEGORÍA Y GRAFICA LOS RESULTADOS,1,barras
crear plot la participación de mercado,1,lineal
Frecuencia de montos de venta,1,histograma
Necesito presentar en gráfico la frecuencia de compras,True,histograma
dibuja gráfico la evolución de precios por favor,True,lineal
stock por categoría y muestra un gráfico de barras?,True,barras
métodos de pago más utilizados y muestra gráfico,1,circular
mostrame los top 10 productos más vendidos y grafica los resultados por favor,1,barras
Solicito genera una gráfica de los descuentos aplicados,True,barras
Mostrar muestra en un chart los ventas mensuales del último año,1,lineal
busca los métodos de pago más utilizados y crea una gráfica,True,barras
Evolución del inventario total,1,lineal
grafica la correlación precio-ventas,1,barras
Me gustaría extrae los ventas mensuales del último año y haz un plot,1,lineal
Ventas canceladas en la última semana?,False,ninguno
Consulta: consulta los precios promedio por marca y genera un chart,1,barras
extrae los productos por categoría y haz un plot,1,lineal
obten los ventas mensuales del último año y visualizalos en un gráfico?,True,lineal
Sería posible grafica las ventas por hora,1,barras
primeros 5 clientes ordenados alfabéticamente agregando chart,1,barras
Dame generar chart las ventas por hora,1,barras
visualizar las ventas por hora,1,barras
Podrías productos sin stock con gráfico circular,True,circular
Consulta: generar chart la distribución de clientes,1,histograma
productos sin stock y muestra un gráfico de barras por favor,True,barras
Mostrar top 10 productos más vendidos con gráfico circular,True,circular
ventas por vendedor con gráfico de dispersión,True,dispersion
métodos de pago más utilizados y gráfico,1,barras
Necesito stock por categoría y muestra gráfico,True,barras
Proporción de tipos de comprobante,1,circular
Plotea la correlación precio-ventas,1,dispersion
ventas por temporada visualizado en línea,1,lineal
Clientes registrados por mes,1,barras
Podrías graficar los métodos de pago,1,barras
Plotear la correlación precio-ventas,1,dispersion
Lista los clientes por grupo de edad y muestra un gráfico,True,barras
Podrías transacciones pendientes de confirmación,False,ninguno
Consulta: grafica la correlación precio-ventas,1,dispersion
Requiero lista los top 10 productos más vendidos y muestra un gráfico,True,barras
obten los primeros 5 clientes ordenados alfabéticamente y visualizalos en un gráfico,1,circular
graficar la evolución de precios,1,lineal
dibujar gráfico la frecuencia de compras,1,lineal
Comparación precio costo vs precio venta,True,dispersion
crea plot los productos más vendidos,1,lineal
dibuja gráfico la evolución de precios,True,lineal
Mostrar presenta en gráfico los productos por categoría,True,barras
Distribución de días entre compras,1,histograma
visualiza la participación de mercado por favor,True,circular
Requiero muestra gráfico la correlación precio-ventas,True,dispersion
grafica los precios promedio por marca,1,barras
DIBUJA GRÁFICO LOS PRODUCTOS MÁS VENDIDOS,True,barras
Podrías haz un gráfico de los productos con mayor margen,True,barras
Podrías ventas por temporada agregando chart,1,barras
Dame visualiza en un gráfico los stock por categoría,True,barras
Dame plotea la correlación precio-ventas,1,dispersion
grafica los tipos de comprobante por favor,1,barras
productos por categoría con gráfico de dispersión,1,dispersion
Podrías descuentos aplicados y gráfico,True,barras
Podrías presenta en gráfico los métodos de pago más utilizados,True,barras
Obtener hacer gráfica la correlación precio-ventas,True,dispersion
Requiero consulta los descuentos aplicados y genera un chart,1,barras
Obtener buscar comprobante por número 001-000456,False,ninguno
GRAFICAR LA CORRELACIÓN PRECIO-VENTAS,1,dispersion
Clientes inactivos en el sistema por favor,True,barras
presenta en gráfico la frecuencia de compras,1,barras
Podrías muestra gráfico la distribución de clientes,True,histograma
dispersión de precios por categoría,True,dispersion
Solicito análisis de clientes,True,barras
plotear la correlación precio-ventas,1,dispersion
muestrame los descuentos aplicados y presenta un gráfico,1,circular
primeros 5 clientes ordenados alfabéticamente y muestra un gráfico de barras,True,barras
lista todos los clientes activos,False,ninguno
busca los precios promedio por marca y crea una gráfica,1,lineal
Requiero plotea la distribución de clientes,1,histograma
Me gustaría transacciones por estado y haz un gráfico de pastel,True,circular
Quiero obten los clientes registrados por mes y visualizalos en un gráfico,True,barras
crea plot las ventas mensuales,1,lineal
productos sin stock y graficalo en barras,1,barras
Me gustaría mostrar gráfico la distribución de clientes,True,histograma
Dame grafica los stock por categoría,1,barras
Me gustaría transacciones por estado y gráfico,True,barras
muestra en un chart los movimientos de inventario,1,barras
Obtener genera una gráfica de los precios promedio por marca,True,barras
PLOTEA LA FRECUENCIA DE COMPRAS,1,histograma
stock por categoría en gráfico lineal por favor,True,lineal
grafica las ventas por hora,1,barras
precios promedio por marca agregando chart,1,barras
Buscar comprobante por número 001-000456 por favor,False,ninguno
Quiero mostrame los compras por proveedor y grafica los resultados,1,barras
Dame clientes por grupo de edad en gráfico lineal,True,lineal
Solicito progresión de ventas acumuladas,True,lineal
tipos de comprobante con gráfico de dispersión?,True,dispersion
Me gustaría obten los ventas mensuales del último año y visualizalos en un gráfico,True,lineal
muestra gráfico las ventas por hora?,True,barras
crea plot el stock por categoría,1,barras
estados de venta y muestra gráfico,1,circular
muestra en un chart los clientes registrados por mes,1,barras
Obtener distribución de ventas por categoría,True,histograma
Quiero clientes por grupo de edad y haz un gráfico de pastel,True,circular
Actualizar precio del producto SKU ABC123,0,ninguno
stock por categoría y gráfico por favor,True,barras
Consulta: Stock actual de todos los productos,False,ninguno
ventas por vendedor con gráfico de dispersión,1,dispersion
Obtener haz gráfica las ventas mensuales,True,lineal
compras por proveedor y graficalo en barras,1,barras
Consulta: crea un plot de los productos por categoría,1,barras
Quiero lista los tipos de comprobante y muestra un gráfico,True,barras
presentar en gráfico los productos más vendidos,1,barras
TOP 10 PRODUCTOS MÁS VENDIDOS AGREGANDO CHART,1,barras
Lista los descuentos aplicados y muestra un gráfico,True,barras
Me gustaría variación de precios de productos,True,barras
Podrías busca los compras por proveedor y crea una gráfica,True,barras
Dame dame los métodos de pago más utilizados y graficalos,1,barras
generar chart la participación de mercado,1,circular
Ventas por vendedor con gráfico de dispersión,True,dispersion
Mostrar plotear las ventas por hora,1,barras
Quiero crea un plot de los top 10 productos más vendidos,1,barras
dame los productos sin stock y graficalos por favor,1,barras
Mostrar grafica los productos más vendidos,1,barras
dibuja gráfico la participación de mercado,1,lineal
Quiero tipos de comprobante y haz un gráfico de pastel,True,circular
Obtener presenta en gráfico la distribución de clientes,True,histograma
ventas mensuales del último año y graficalo en barras,1,barras
Dame dame los stock por categoría y graficalos,1,barras
mostrame los tipos de comprobante y grafica los resultados,1,barras
Quiero comportamiento de ventas por temporada,True,barras
Obtener dibuja gráfico la correlación precio-ventas,True,dispersion
Obtener presentar en gráfico las ventas por hora,True,barras
consulta los tipos de comprobante y genera un chart,1,barras
Podrías distribución de estados de venta,False,ninguno
dibuja un gráfico con los productos con mayor margen,True,barras
graficar los métodos de pago,1,barras
Requiero extrae los tipos de comprobante y haz un plot,1,barras
busca los estados de venta y crea una gráfica,True,barras
Obtener hacer gráfica los productos más vendidos,True,barras
clientes por grupo de edad visualizado en línea,1,lineal
Sería posible haz gráfica los productos más vendidos,True,barras
Productos por categoría visualizado en línea,True,lineal
crear plot la distribución de clientes,1,histograma
Dame plotear la evolución de precios,1,lineal
Sería posible grafica los ventas por temporada,1,barras
dibujar gráfico la evolución de precios,1,lineal
Me gustaría presenta en gráfico la distribución de clientes,True,histograma
CREAR PLOT LOS MÉTODOS DE PAGO,1,barras
hacer gráfica el stock por categoría,1,circular
presenta en gráfico las ventas por hora,1,barras
Distribución de precios de productos,1,histograma
busca los clientes por grupo de edad y crea una gráfica,1,lineal
Distribución de precios de productos,True,histograma
Consulta: presentar en gráfico la frecuencia de compras,True,histograma
Obtener busca los ventas por temporada y crea una gráfica,True,barras
Quiero tipos de comprobante y muestra gráfico,True,barras
Sería posible grafica los primeros 5 clientes ordenados alfabéticamente,1,barras
Mostrar visualiza la distribución de clientes,True,histograma
Obtener clientes registrados por mes y gráfico,True,barras
Obtener crea un plot de los ventas por vendedor,1,barras
Sería posible extrae los top 10 productos más vendidos y haz un plot,1,barras
métricas comerciales,True,barras
Requiero grafica los métodos de pago,1,barras
Obtener consulta los estados de venta y genera un chart,1,barras
Dame generar chart las ventas mensuales,1,lineal
muestra gráfico los métodos de pago,1,circular
MOSTRAME LOS PRECIOS PROMEDIO POR MARCA Y GRAFICA LOS RESULTADOS,1,barras
visualizar las ventas por hora,1,barras
Quiero actualizar precio del producto sku abc123,False,ninguno
Mostrar crea un plot de los ventas por vendedor,1,barras
lista los top 10 productos más vendidos y muestra un gráfico,True,barras
Me gustaría análisis de mercado,True,barras
lista los productos por categoría y muestra un gráfico,True,barras
generar chart la distribución de clientes,1,barras
haz un gráfico de los compras por proveedor,1,barras
Dame muestra en un chart los ventas por temporada,1,barras
Obtener dibuja gráfico los métodos de pago,True,barras
Métodos de pago más utilizados y gráfico,True,barras
Requiero dame los ventas por hora del día y graficalos,1,barras
clientes por grupo de edad en gráfico lineal,1,lineal
Mostrar generar chart los métodos de pago,1,barras
Quiero ventas por hora del día y muestra gráfico,True,barras
Consulta: grafica el stock por categoría,1,barras
Dame muestra en un chart los clientes registrados por mes,1,barras
Solicito compras por proveedor y graficalo en barras,1,barras
Requiero ventas por temporada con gráfico de dispersión,True,dispersion
plotear las ventas mensuales,1,lineal
Lista los top 10 productos más vendidos y muestra un gráfico,True,barras
visualiza la distribución de clientes,1,lineal
PRODUCTOS SIN STOCK CON GRÁFICO CIRCULAR,True,circular
Dame presenta en gráfico los productos más vendidos,True,barras
muestra gráfico la correlación precio-ventas,1,circular
Frecuencia de montos de venta por favor,False,ninguno
Dame ventas por temporada incluyendo gráfica,True,barras
grafica las ventas mensuales,1,barras
Dame métricas comerciales,True,barras
ventas por hora del día agregando chart?,1,barras
Me gustaría generar chart la distribución de clientes,1,histograma
plotear la evolución de precios?,1,lineal
Dame presentar en gráfico las ventas mensuales,True,lineal
PRESENTA EN GRÁFICO LOS PRODUCTOS POR CATEGORÍA,True,barras
GENERA UNA GRÁFICA DE LOS VENTAS POR VENDEDOR,True,barras
obten los primeros 5 clientes ordenados alfabéticamente y visualizalos en un gráfico?,True,barras
visualizar las ventas por hora,1,lineal
Dame haz gráfica la participación de mercado,True,circular
plotear el stock por categoría,1,dispersion
Sería posible generar chart la frecuencia de compras,1,histograma
consulta los descuentos aplicados y genera un chart por favor,1,barras
ventas por temporada con gráfico,1,barras
Obtener muestra gráfico la evolución de precios,True,lineal
Dame extrae los top 10 productos más vendidos y haz un plot,1,barras
Podrías clientes por grupo de edad y muestra gráfico,True,barras
busca los top 10 productos más vendidos y crea una gráfica,1,lineal
Sería posible presenta en gráfico las ventas mensuales,True,lineal
crea un plot de los métodos de pago más utilizados,1,dispersion
Mostrar muestrame los productos por categoría y presenta un gráfico,True,barras
PRODUCTOS POR CATEGORÍA AGREGANDO CHART,1,barras
busca los movimientos de inventario y crea una gráfica,1,lineal
descuentos aplicados agregando chart,1,barras
Obtener muestra gráfico la participación de mercado,True,circular
Consulta: muestra en un chart los productos sin stock,1,barras
Dame grafica el stock por categoría,1,barras
Quiero hacer gráfica las ventas mensuales,True,lineal
grafica los métodos de pago más utilizados,1,barras
grafica los métodos de pago,1,barras
Obtener obten los movimientos de inventario y visualizalos en un gráfico,True,barras
Me gustaría presenta en gráfico la participación de mercado,True,circular
Dame mostrar gráfico la correlación precio-ventas,True,dispersion
Me gustaría productos sin stock y graficalo en barras,1,barras
presenta en gráfico los tipos de comprobante,1,circular
Solicito métricas de rendimiento,True,barras
Obtener consulta los precios promedio por marca y genera un chart,1,barras
dame los ventas mensuales del último año y graficalos,1,barras
Obtener graficar las ventas por hora,1,barras
dibujar gráfico la evolución de precios,True,lineal
ventas por hora del día y muestra gráfico,True,barras
Total vendido este mes,False,ninguno
Solicito reporte de inventario,True,barras
Me gustaría productos más vendidos por categoría,False,ninguno
extrae los transacciones por estado y haz un plot,1,lineal
Mostrar dibujar gráfico la correlación precio-ventas,True,dispersion
Ventas por método de pago,1,barras
MÉTODOS DE PAGO MÁS UTILIZADOS Y MUESTRA GRÁFICO,True,barras
Requiero top 10 productos más vendidos con gráfico de dispersión,True,dispersion
Sería posible visualizar el stock por categoría,1,barras
productos con mayor margen y muestra histograma,True,histograma
Requiero presenta en gráfico los movimientos de inventario,True,barras
Necesito dame los compras por proveedor y graficalos,1,barras
DESCUENTOS APLICADOS Y MUESTRA UN GRÁFICO DE BARRAS,True,barras
Quiero crea un plot de los clientes registrados por mes,1,barras
LISTA LOS PRECIOS PROMEDIO POR MARCA Y MUESTRA UN GRÁFICO,True,barras
grafica los compras por proveedor por favor,1,barras
Mostrar grafica los ventas por temporada,1,barras
Necesito estados de venta con gráfico circular,True,circular
Dame presenta en gráfico los compras por proveedor,True,barras
stock por categoría agregando chart por favor,1,barras
grafica los productos con mayor margen,1,barras
Mostrar haz gráfica la frecuencia de compras,True,histograma
Me gustaría mostrame los descuentos aplicados y grafica los resultados,1,barras
hacer gráfica la correlación precio-ventas,1,circular
Dame busca los clientes por grupo de edad y crea una gráfica,True,barras
hacer gráfica los métodos de pago,True,barras
Requiero presenta en gráfico los descuentos aplicados,True,barras
dibujar gráfico los productos más vendidos,1,lineal
graficar la distribución de clientes,1,barras
Solicito ventas por hora del día incluyendo gráfica,True,barras
mostrar gráfico la evolución de precios,True,lineal
Dame movimientos de inventario del producto id 10,False,ninguno
mostrame los precios promedio por marca y grafica los resultados,1,barras
Obtener obten los estados de venta y visualizalos en un gráfico,True,barras
Consulta: crea un plot de los productos con mayor margen,1,barras
mostrar gráfico la frecuencia de compras,1,circular
Requiero estadísticas de ventas,True,barras
Obtener crear plot los productos más vendidos,1,barras
productos por categoría en gráfico lineal,1,lineal
crear plot la evolución de precios,1,lineal
top 10 productos más vendidos con gráfico de dispersión,1,dispersion
Obtener dibuja un gráfico con los ventas por hora del día,True,barras
Me gustaría transacciones por estado,True,barras
ventas por temporada y haz un gráfico de pastel,1,circular
Consulta: Resumen financiero,True,barras
Actualizar teléfono del cliente con ID 15,0,ninguno
muestrame los transacciones por estado y presenta un gráfico por favor,True,barras
Podrías grafica los tipos de comprobante,1,barras
Podrías descuentos aplicados con gráfico,True,barras
extrae los primeros 5 clientes ordenados alfabéticamente y haz un plot,1,barras
Dame busca los métodos de pago más utilizados y crea una gráfica,True,barras
productos por categoría visualizado en línea,1,lineal
presentar en gráfico el stock por categoría,1,barras
descuentos aplicados y muestra gráfico por favor,True,barras
Solicito presentar en gráfico la correlación precio-ventas,True,dispersion
visualizar las ventas mensuales,1,lineal
mostrar gráfico la frecuencia de compras,True,histograma
Mostrar métodos de pago más utilizados agregando chart,1,barras
lista los descuentos aplicados y muestra un gráfico,1,barras
stock por categoría y gráfico?,True,barras
Dame porcentaje de productos con descuento,False,ninguno
Quiero presenta en gráfico la participación de mercado,True,circular
dibuja gráfico la distribución de clientes,True,histograma
Consulta: visualizar los productos más vendidos,1,barras
genera chart el stock por categoría,1,barras
Obtener productos con mayor margen de ganancia,True,barras
clientes registrados por mes incluyendo gráfica,1,lineal
